Date,distance,duration,elapsedDuration,movingDuration,elevationGain,elevationLoss,averageSpeed,maxSpeed,calories,bmrCalories,averageHR,maxHR,ActivitySteps,aerobicTrainingEffect,anaerobicTrainingEffect,locationName,lapCount,waterEstimated,trainingEffectLabel,activityTrainingLoad,minActivityLapDuration,aerobicTrainingEffectMessage,anaerobicTrainingEffectMessage,moderateIntensityMinutes_x,vigorousIntensityMinutes_x,hrTimeInZone_1,hrTimeInZone_2,hrTimeInZone_3,hrTimeInZone_4,hrTimeInZone_5,maxRunningCadenceInStepsPerMinute,vO2MaxValue,maxDoubleCadence,totalSets,activeSets,totalReps,typeKey_clean,avgSleepStress,sleepScoreFeedback,awakeSleepSeconds,awakeCount,sleepScoreInsight,remSleepSeconds,deepSleepSeconds,averageRespirationValue,ageGroup,lightSleepSeconds,sleepTimeSeconds,charged,drained,steps_y,pushes,totalKilocalories,activeKilocalories,bmrKilocalories,wellnessKilocalories,remainingKilocalories,totalSteps,netCalorieGoal,totalDistanceMeters,wellnessDistanceMeters,wellnessActiveKilocalories,netRemainingKilocalories,dailyStepGoal,highlyActiveSeconds,activeSeconds,sedentarySeconds,sleepingSeconds,includesWellnessData,includesActivityData,includesCalorieConsumedData,moderateIntensityMinutes_y,vigorousIntensityMinutes_y,floorsAscendedInMeters,floorsDescendedInMeters,floorsAscended,floorsDescended,intensityMinutesGoal,userFloorsAscendedGoal,minHeartRate,maxHeartRate,restingHeartRate,lastSevenDaysAvgRestingHeartRate,averageStressLevel,maxStressLevel,stressDuration,restStressDuration,activityStressDuration,uncategorizedStressDuration,totalStressDuration,lowStressDuration,mediumStressDuration,highStressDuration,stressPercentage,restStressPercentage,activityStressPercentage,uncategorizedStressPercentage,lowStressPercentage,mediumStressPercentage,highStressPercentage,stressQualifier,measurableAwakeDuration,measurableAsleepDuration,minAvgHeartRate,maxAvgHeartRate,bodyBatteryChargedValue,bodyBatteryDrainedValue,bodyBatteryHighestValue,bodyBatteryLowestValue,bodyBatteryMostRecentValue,bodyBatteryDuringSleep,averageMonitoringEnvironmentAltitude,restingCaloriesFromActivity,avgWakingRespirationValue,highestRespirationValue,lowestRespirationValue,ActivityStartHour,ActivityPerformedToday,activityType,workout_date,last_workout_date,daysSinceLastWorkout,sleepTimeHours,deepSleepHours,remSleepHours,lightSleepHours,awakeSleepHours,deepSleepPercentage,remSleepPercentage,lightSleepPercentage,awakeSleepPercentage,day_of_week,is_weekend,month,day_of_year
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking,46.0,NEGATIVE_LONG_BUT_NOT_RESTORATIVE,660,1.0,NEGATIVE_HIGHLY_STRESSFUL_DAY,6720,6300,14.0,ADULT,21360,34380,29,24,0.0,0.0,2275.0,283.0,1992.0,2275.0,2275.0,1530.0,1250.0,1143.0,1143.0,283.0,1533.0,4430.0,240.0,3076.0,45764.0,37320.0,True,False,False,0.0,0.0,6.096,5.1530000000000005,2.0,1.69062,150.0,10.0,67,124,78,73,40,93,64620,18060,3180,480,86340,42780,19080,2760,74.84,20.92,3.68,0.56,49.55,22.1,3.2,VERY_STRESSFUL,50760,35100,70,124,29,24,34,7,14,26,187.0,0.0,14.0,20.0,10.0,0,False,No Activity,,,,9.55,1.75,1.8666666666666667,5.933333333333334,0.18333333333333332,18.32460732984293,19.546247818499126,62.129144851657934,1.9197207678883073,Monday,0,1,1
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking,15.0,POSITIVE_LONG_AND_CONTINUOUS,240,0.0,NONE,9000,2760,15.0,ADULT,17820,29580,75,75,0.0,0.0,2327.0,335.0,1992.0,2327.0,2327.0,1837.0,1250.0,1362.0,1362.0,335.0,1585.0,3850.0,195.0,3792.0,54873.0,27540.0,True,False,False,0.0,0.0,6.096,2.37,2.0,0.77756,150.0,10.0,66,123,67,72,40,95,47040,31920,4260,3180,86400,16020,22620,8400,54.44,36.94,4.93,3.68,18.54,26.18,9.72,STRESSFUL,55680,27540,67,121,75,75,84,10,14,70,189.0,0.0,14.0,23.0,10.0,0,False,No Activity,,,,8.216666666666667,0.7666666666666667,2.5,4.95,0.06666666666666667,9.330628803245435,30.425963488843816,60.24340770791075,0.8113590263691683,Tuesday,0,1,2
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking,15.0,POSITIVE_LONG_AND_CONTINUOUS,240,0.0,NONE,9000,2760,15.0,ADULT,17820,29580,75,75,0.0,0.0,2327.0,335.0,1992.0,2327.0,2327.0,1837.0,1250.0,1362.0,1362.0,335.0,1585.0,3850.0,195.0,3792.0,54873.0,27540.0,True,False,False,0.0,0.0,6.096,2.37,2.0,0.77756,150.0,10.0,66,123,67,72,40,95,47040,31920,4260,3180,86400,16020,22620,8400,54.44,36.94,4.93,3.68,18.54,26.18,9.72,STRESSFUL,55680,27540,67,121,75,75,84,10,14,70,189.0,0.0,14.0,23.0,10.0,0,False,No Activity,,,,8.216666666666667,0.7666666666666667,2.5,4.95,0.06666666666666667,9.330628803245435,30.425963488843816,60.24340770791075,0.8113590263691683,Tuesday,0,1,2
2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking,24.0,POSITIVE_DEEP,60,0.0,NONE,4740,6420,13.0,ADULT,13680,24840,42,45,0.0,0.0,2401.0,409.0,1992.0,2401.0,2401.0,2271.0,1250.0,1684.0,1684.0,409.0,1659.0,3450.0,300.0,4201.0,56459.0,25440.0,True,False,False,0.0,0.0,10.747,4.982,3.52592,1.63451,150.0,10.0,57,124,76,72,39,94,55440,23700,4980,2280,86400,34800,17040,3600,64.17,27.43,5.76,2.64,40.28,19.72,4.17,STRESSFUL,59220,24900,60,122,42,45,54,11,11,37,189.0,0.0,14.0,20.0,8.0,0,False,No Activity,,,,6.9,1.7833333333333334,1.3166666666666667,3.8,0.016666666666666666,25.845410628019323,19.082125603864732,55.072463768115945,0.24154589371980675,Wednesday,0,1,3
2024-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walking,24.0,POSITIVE_DEEP,60,0.0,NONE,4740,6420,13.0,ADULT,13680,24840,42,45,0.0,0.0,2401.0,409.0,1992.0,2401.0,2401.0,2271.0,1250.0,1684.0,1684.0,409.0,1659.0,3450.0,300.0,4201.0,56459.0,25440.0,True,False,False,0.0,0.0,10.747,4.982,3.52592,1.63451,150.0,10.0,57,124,76,72,39,94,55440,23700,4980,2280,86400,34800,17040,3600,64.17,27.43,5.76,2.64,40.28,19.72,4.17,STRESSFUL,59220,24900,60,122,42,45,54,11,11,37,189.0,0.0,14.0,20.0,8.0,0,False,No Activity,,,,6.9,1.7833333333333334,1.3166666666666667,3.8,0.016666666666666666,25.845410628019323,19.082125603864732,55.072463768115945,0.24154589371980675,Wednesday,0,1,3
2024-01-04,530.719970703125,368.70599365234375,368.70599365234375,368.0,8.070000000298023,4.7799999713897705,1.4390000104904173,1.6890000104904175,51.0,9.0,146.0,161.0,732.0,1.399999976158142,0.0,Spring Hill,1.0,61.0,RECOVERY,10.65106201171875,368.70599365234375,RECOVERY_5,NO_ANAEROBIC_BENEFIT_0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,walking,16.0,POSITIVE_LONG_AND_CONTINUOUS,180,0.0,NONE,6300,4800,14.0,ADULT,16200,27300,63,32,0.0,0.0,2334.0,348.0,1986.0,2334.0,2334.0,7719.0,1250.0,5651.0,5651.0,348.0,1598.0,5270.0,2243.0,2016.0,54361.0,27780.0,True,True,False,9.0,21.0,46.119,28.939,15.13091,9.49442,150.0,10.0,67,176,70,72,27,93,13560,27180,2640,240,43620,6060,6780,720,31.09,62.31,6.05,0.55,13.89,15.54,1.65,UNKNOWN,20040,23340,68,175,63,32,76,15,46,65,210.0,32.0,13.0,18.0,9.0,12,True,Walking,2024-01-04,2024-01-04,0.0,7.583333333333333,1.3333333333333333,1.75,4.5,0.05,17.582417582417584,23.076923076923077,59.34065934065934,0.6593406593406593,Thursday,0,1,4
2024-01-04,530.719970703125,368.70599365234375,368.70599365234375,368.0,8.070000000298023,4.7799999713897705,1.4390000104904173,1.6890000104904175,51.0,9.0,146.0,161.0,732.0,1.399999976158142,0.0,Spring Hill,1.0,61.0,RECOVERY,10.65106201171875,368.70599365234375,RECOVERY_5,NO_ANAEROBIC_BENEFIT_0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,124.0,0.0,0.0,0.0,walking,16.0,POSITIVE_LONG_AND_CONTINUOUS,180,0.0,NONE,6300,4800,14.0,ADULT,16200,27300,63,32,0.0,0.0,2334.0,348.0,1986.0,2334.0,2334.0,7719.0,1250.0,5651.0,5651.0,348.0,1598.0,5270.0,2243.0,2016.0,54361.0,27780.0,True,True,False,9.0,21.0,46.119,28.939,15.13091,9.49442,150.0,10.0,67,176,70,72,27,93,13560,27180,2640,240,43620,6060,6780,720,31.09,62.31,6.05,0.55,13.89,15.54,1.65,UNKNOWN,20040,23340,68,175,63,32,76,15,46,65,210.0,32.0,13.0,18.0,9.0,12,True,Walking,2024-01-04,2024-01-04,0.0,7.583333333333333,1.3333333333333333,1.75,4.5,0.05,17.582417582417584,23.076923076923077,59.34065934065934,0.6593406593406593,Thursday,0,1,4
2024-01-04,2265.659912109375,1013.7769775390625,1013.7769775390625,1012.802001953125,22.769999980926514,16.509999990463257,2.234999895095825,2.509999990463257,167.0,23.0,164.0,182.0,3004.0,3.0999999046325684,0.0,Spring Hill,2.0,191.0,TEMPO,53.54872131347656,306.802001953125,IMPACTING_TEMPO_22,NO_ANAEROBIC_BENEFIT_0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,227.0,39.0,227.0,0.0,0.0,0.0,running,16.0,POSITIVE_LONG_AND_CONTINUOUS,180,0.0,NONE,6300,4800,14.0,ADULT,16200,27300,63,32,0.0,0.0,2334.0,348.0,1986.0,2334.0,2334.0,7719.0,1250.0,5651.0,5651.0,348.0,1598.0,5270.0,2243.0,2016.0,54361.0,27780.0,True,True,False,9.0,21.0,46.119,28.939,15.13091,9.49442,150.0,10.0,67,176,70,72,27,93,13560,27180,2640,240,43620,6060,6780,720,31.09,62.31,6.05,0.55,13.89,15.54,1.65,UNKNOWN,20040,23340,68,175,63,32,76,15,46,65,210.0,32.0,13.0,18.0,9.0,11,True,Running,2024-01-04,2024-01-04,0.0,7.583333333333333,1.3333333333333333,1.75,4.5,0.05,17.582417582417584,23.076923076923077,59.34065934065934,0.6593406593406593,Thursday,0,1,4
2024-01-04,2265.659912109375,1013.7769775390625,1013.7769775390625,1012.802001953125,22.769999980926514,16.509999990463257,2.234999895095825,2.509999990463257,167.0,23.0,164.0,182.0,3004.0,3.0999999046325684,0.0,Spring Hill,2.0,191.0,TEMPO,53.54872131347656,306.802001953125,IMPACTING_TEMPO_22,NO_ANAEROBIC_BENEFIT_0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,227.0,39.0,227.0,0.0,0.0,0.0,running,16.0,POSITIVE_LONG_AND_CONTINUOUS,180,0.0,NONE,6300,4800,14.0,ADULT,16200,27300,63,32,0.0,0.0,2334.0,348.0,1986.0,2334.0,2334.0,7719.0,1250.0,5651.0,5651.0,348.0,1598.0,5270.0,2243.0,2016.0,54361.0,27780.0,True,True,False,9.0,21.0,46.119,28.939,15.13091,9.49442,150.0,10.0,67,176,70,72,27,93,13560,27180,2640,240,43620,6060,6780,720,31.09,62.31,6.05,0.55,13.89,15.54,1.65,UNKNOWN,20040,23340,68,175,63,32,76,15,46,65,210.0,32.0,13.0,18.0,9.0,11,True,Running,2024-01-04,2024-01-04,0.0,7.583333333333333,1.3333333333333333,1.75,4.5,0.05,17.582417582417584,23.076923076923077,59.34065934065934,0.6593406593406593,Thursday,0,1,4
2024-01-05,3407.530029296875,1628.011962890625,1628.011962890625,1626.7870025634766,39.97000002861023,36.93000000715256,2.0929999351501465,3.759999990463257,256.0,38.0,162.0,177.0,4692.0,3.4000000953674316,0.0,Spring Hill,4.0,323.0,LACTATE_THRESHOLD,67.1917724609375,3.0360000133514404,IMPROVING_LACTATE_THRESHOLD_12,NO_ANAEROBIC_BENEFIT_0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,244.0,39.0,244.0,0.0,0.0,0.0,running,50.0,NEGATIVE_NOT_RESTORATIVE,1200,2.0,NEGATIVE_HIGHLY_STRESSFUL_DAY,3240,5940,15.0,ADULT,15780,24960,0,78,0.0,0.0,2964.0,978.0,1986.0,2964.0,2964.0,7179.0,1250.0,5244.0,5244.0,978.0,2228.0,5520.0,2630.0,3978.0,57892.0,21900.0,True,True,False,17.0,24.0,62.318,53.033,20.44554,17.39928,150.0,10.0,78,175,76,72,57,99,51840,1560,5400,3000,61800,20220,19740,11880,83.88,2.52,8.74,4.85,32.72,31.94,19.22,VERY_STRESSFUL_AWAKE,58560,240,78,172,0,78,83,5,5,43,227.0,38.0,13.0,20.0,10.0,11,True,Strength Training,2024-01-05,2024-01-05,0.0,6.933333333333334,1.65,0.9,4.383333333333334,0.3333333333333333,23.798076923076923,12.980769230769232,63.22115384615385,4.807692307692308,Friday,0,1,5
