Date,totalSteps,restingHeartRate,sleepTimeSeconds,awakeSleepSeconds,avgSleepStress,cluster
2024-01-01,1530.0,78,34380,660,46.0,0
2024-01-02,1837.0,67,29580,240,15.0,1
2024-01-02,1837.0,67,29580,240,15.0,1
2024-01-03,2271.0,76,24840,60,24.0,0
2024-01-03,2271.0,76,24840,60,24.0,0
2024-01-04,7719.0,70,27300,180,16.0,1
2024-01-04,7719.0,70,27300,180,16.0,1
2024-01-04,7719.0,70,27300,180,16.0,1
2024-01-04,7719.0,70,27300,180,16.0,1
2024-01-05,7179.0,76,24960,1200,50.0,0
2024-01-05,7179.0,76,24960,1200,50.0,0
2024-01-06,5555.0,75,31320,480,31.0,0
2024-01-06,5555.0,75,31320,480,31.0,0
2024-01-07,10843.0,73,33360,60,29.0,1
2024-01-07,10843.0,73,33360,60,29.0,1
2024-01-08,1642.0,73,27960,240,23.0,1
2024-01-08,1642.0,73,27960,240,23.0,1
2024-01-09,1914.0,72,25080,1020,40.0,0
2024-01-09,1914.0,72,25080,1020,40.0,0
2024-01-10,7498.0,69,29040,900,12.0,1
2024-01-10,7498.0,69,29040,900,12.0,1
2024-01-11,5037.0,73,27540,180,23.0,1
2024-01-11,5037.0,73,27540,180,23.0,1
2024-01-12,1939.0,70,28620,240,20.0,1
2024-01-12,1939.0,70,28620,240,20.0,1
2024-01-13,11815.0,70,30960,120,31.0,1
2024-01-13,11815.0,70,30960,120,31.0,1
2024-01-14,7888.0,70,33240,240,20.0,1
2024-01-14,7888.0,70,33240,240,20.0,1
2024-01-15,5625.0,68,31620,360,22.0,1
2024-01-15,5625.0,68,31620,360,22.0,1
2024-01-16,1771.0,68,21720,300,32.0,0
2024-01-16,1771.0,68,21720,300,32.0,0
2024-01-17,3790.0,65,35220,60,9.0,1
2024-01-17,3790.0,65,35220,60,9.0,1
2024-01-18,1640.0,66,30600,780,27.0,1
2024-01-18,1640.0,66,30600,780,27.0,1
2024-01-19,3676.0,67,29220,1080,28.0,1
