Date,restingHeartRate,lastSevenDaysAvgRestingHeartRate,totalSteps
2024-01-01,78.0,73.0,1530.0
2024-01-02,67.0,72.0,3674.0
2024-01-03,76.0,72.0,4542.0
2024-01-04,70.0,72.0,30876.0
2024-01-05,76.0,72.0,14358.0
2024-01-06,75.0,73.0,11110.0
2024-01-07,73.0,74.0,21686.0
2024-01-08,73.0,73.0,3284.0
2024-01-09,72.0,74.0,3828.0
2024-01-10,69.0,73.0,14996.0
2024-01-11,73.0,73.0,10074.0
2024-01-12,70.0,72.0,3878.0
2024-01-13,70.0,71.0,23630.0
2024-01-14,70.0,71.0,15776.0
2024-01-15,68.0,70.0,11250.0
2024-01-16,68.0,70.0,3542.0
2024-01-17,65.0,69.0,7580.0
2024-01-18,66.0,68.0,3280.0
2024-01-19,67.0,68.0,7352.0
2024-01-20,71.0,68.0,16516.0
2024-01-21,74.0,68.0,5298.0
2024-01-22,70.0,69.0,4420.0
2024-01-23,70.0,69.0,16270.0
2024-01-24,73.0,70.0,6680.0
2024-01-25,78.0,72.0,4566.0
2024-01-26,75.0,73.0,14648.0
2024-01-27,77.0,74.0,5804.0
2024-01-28,69.0,73.0,25746.0
2024-01-29,71.0,73.0,2872.0
2024-01-30,75.0,74.0,7158.0
2024-01-31,73.0,74.0,16432.0
2024-02-01,72.0,0.0,11646.0
2024-02-02,77.0,74.0,20928.0
2024-02-03,78.0,74.0,30386.0
2024-02-04,73.0,75.0,12562.0
2024-02-05,63.0,73.0,20358.0
2024-02-06,72.0,0.0,4252.0
2024-02-07,72.0,0.0,5818.0
2024-02-08,72.0,0.0,4346.0
2024-02-09,75.0,72.0,5246.0
2024-02-10,72.0,71.0,5748.0
2024-02-11,72.0,71.0,20702.0
2024-02-12,83.0,76.0,5776.0
2024-02-13,75.0,75.0,5804.0
2024-02-14,76.0,76.0,5336.0
2024-02-15,71.0,75.0,6030.0
2024-02-16,71.0,74.0,13442.0
2024-02-17,74.0,75.0,5584.0
2024-02-18,76.0,75.0,20234.0
2024-02-19,73.0,74.0,18396.0
2024-02-20,72.0,73.0,6292.0
2024-02-21,79.0,74.0,7600.0
2024-02-22,76.0,74.0,4380.0
2024-02-23,77.0,75.0,21682.0
2024-02-24,79.0,76.0,69556.0
2024-02-25,75.0,76.0,23902.0
2024-02-26,78.0,77.0,7232.0
2024-02-27,79.0,78.0,19150.0
2024-02-28,75.0,77.0,3578.0
2024-02-29,73.0,77.0,21906.0
2024-03-01,78.0,77.0,4402.0
2024-03-02,80.0,77.0,22380.0
2024-03-03,73.0,77.0,37076.0
2024-03-04,72.0,76.0,8460.0
2024-03-05,72.0,75.0,3640.0
2024-03-06,71.0,74.0,19890.0
2024-03-07,72.0,0.0,9222.0
2024-03-08,72.0,0.0,21154.0
2024-03-09,72.0,0.0,31958.0
2024-03-10,72.0,0.0,14496.0
2024-03-11,72.0,0.0,18440.0
2024-03-12,72.0,0.0,13062.0
2024-03-13,71.0,71.0,14902.0
2024-03-14,63.0,67.0,22518.0
2024-03-15,72.0,0.0,4558.0
2024-03-16,72.0,0.0,42210.0
2024-03-17,71.0,68.0,24402.0
2024-03-18,71.0,69.0,6356.0
2024-03-19,75.0,70.0,9040.0
2024-03-20,72.0,70.0,7026.0
2024-03-21,72.0,72.0,7886.0
2024-03-22,68.0,72.0,8450.0
2024-03-23,79.0,73.0,8296.0
2024-03-24,75.0,73.0,44434.0
2024-03-25,75.0,74.0,4614.0
2024-03-26,78.0,74.0,5558.0
2024-03-27,75.0,75.0,14894.0
2024-03-28,74.0,75.0,6942.0
2024-03-29,74.0,76.0,8040.0
2024-03-30,79.0,76.0,26882.0
2024-03-31,72.0,75.0,6842.0
2024-04-01,70.0,75.0,17260.0
2024-04-02,79.0,75.0,4870.0
2024-04-03,72.0,74.0,19304.0
2024-04-04,69.0,74.0,8094.0
2024-04-05,79.0,74.0,7464.0
2024-04-06,74.0,74.0,49034.0
2024-04-07,77.0,74.0,6884.0
2024-04-08,68.0,74.0,4378.0
2024-04-09,72.0,73.0,4088.0
2024-04-10,71.0,73.0,2650.0
2024-04-11,71.0,73.0,8604.0
2024-04-12,77.0,73.0,7446.0
2024-04-13,77.0,73.0,7506.0
2024-04-14,75.0,73.0,7464.0
2024-04-15,74.0,74.0,18704.0
2024-04-16,76.0,74.0,6860.0
2024-04-17,76.0,75.0,7108.0
2024-04-18,72.0,75.0,5678.0
2024-04-19,73.0,75.0,5890.0
2024-04-20,77.0,75.0,6870.0
2024-04-21,68.0,74.0,5778.0
2024-04-22,71.0,73.0,18082.0
2024-04-23,74.0,73.0,7586.0
2024-04-24,74.0,73.0,17092.0
2024-04-25,72.0,73.0,5328.0
2024-04-26,77.0,73.0,7126.0
2024-04-27,72.0,73.0,65894.0
2024-04-28,70.0,73.0,5402.0
2024-04-29,71.0,73.0,9392.0
2024-04-30,72.0,73.0,6832.0
2024-05-01,69.0,72.0,8620.0
2024-05-02,75.0,72.0,5914.0
2024-05-03,68.0,71.0,6352.0
2024-05-04,70.0,71.0,65780.0
2024-05-05,73.0,71.0,5738.0
2024-05-06,71.0,71.0,6688.0
2024-05-07,74.0,71.0,2968.0
2024-05-08,68.0,71.0,7826.0
2024-05-09,67.0,70.0,7208.0
2024-05-10,72.0,71.0,9260.0
2024-05-11,71.0,71.0,10238.0
2024-05-12,71.0,71.0,9984.0
2024-05-13,70.0,70.0,13346.0
2024-05-14,73.0,70.0,10346.0
2024-05-15,73.0,71.0,7060.0
2024-05-16,74.0,72.0,40082.0
2024-05-17,66.0,71.0,4320.0
2024-05-18,72.0,71.0,6170.0
2024-05-19,70.0,71.0,5944.0
2024-05-20,70.0,71.0,8586.0
2024-05-21,75.0,71.0,6750.0
2024-05-22,73.0,71.0,7848.0
2024-05-23,75.0,72.0,10240.0
2024-05-24,72.0,72.0,31852.0
2024-05-25,77.0,73.0,29848.0
2024-05-26,76.0,74.0,16718.0
2024-05-27,76.0,75.0,24366.0
2024-05-28,75.0,75.0,33284.0
2024-05-29,79.0,76.0,29874.0
2024-05-30,73.0,75.0,9066.0
2024-05-31,74.0,76.0,18938.0
2024-06-01,69.0,75.0,13240.0
2024-06-02,69.0,74.0,5434.0
2024-06-03,65.0,72.0,4678.0
2024-06-04,72.0,72.0,3938.0
2024-06-05,70.0,70.0,5148.0
2024-06-06,72.0,70.0,13404.0
2024-06-07,69.0,69.0,4972.0
2024-06-08,74.0,70.0,13968.0
2024-06-09,74.0,71.0,8426.0
2024-06-10,70.0,72.0,18794.0
2024-06-11,69.0,71.0,16440.0
2024-06-12,71.0,71.0,6084.0
2024-06-13,71.0,71.0,9708.0
2024-06-14,72.0,72.0,6204.0
2024-06-15,75.0,72.0,18990.0
2024-06-16,75.0,72.0,6010.0
2024-06-17,76.0,73.0,2046.0
2024-06-18,75.0,74.0,3484.0
2024-06-19,80.0,75.0,4810.0
2024-06-20,76.0,76.0,8542.0
2024-06-21,74.0,76.0,33378.0
